,FXE,EWJ,GLD,QQQ,SPY,SHV,GAF,DBA,USO,XBI,ILF,EPP,FEZ,Mkt_RF,SMB,HML,RF,Portfolio_Excess
2007-07-24,131.2459716796875,47.484745025634766,67.47000122070312,43.70760726928711,114.9024658203125,98.61966705322266,50.62999725341797,24.438859939575195,441.2799987792969,16.381961822509766,31.52166175842285,29.43973731994629,38.269779205322266,-0.0204,-0.0049,-0.0029,0.00018999999999999998,1135.364254147339
2007-07-25,130.3076934814453,47.51716232299805,66.9000015258789,43.76964569091797,115.13790893554688,98.64669036865234,50.51025390625,24.533109664916992,459.5199890136719,16.636442184448242,31.314542770385742,29.58483123779297,38.073272705078125,0.003,-0.0045000000000000005,0.0012,0.00018999999999999998,1152.4512438079832
2007-07-26,130.544677734375,46.67443084716797,65.6500015258789,43.397518157958984,112.41156005859375,98.70077514648438,48.63922119140625,24.61793327331543,449.760009765625,16.49329948425293,29.694215774536133,28.120580673217773,36.824432373046875,-0.0236,-0.0002,-0.0017000000000000001,0.00018999999999999998,1131.5031560058594
2007-07-27,129.59689331054688,46.220638275146484,65.41000366210938,42.52034378051758,110.20157623291016,98.70077514648438,47.83842086791992,24.504833221435547,461.9200134277344,16.15293312072754,29.623756408691406,27.366500854492188,36.323638916015625,-0.0151,-0.0006,0.0013,0.00018999999999999998,1136.3659272247314
2007-07-30,130.17503356933594,46.9985466003418,65.7699966430664,43.01652145385742,111.92546081542969,98.70077514648438,48.43715286254883,24.34461212158203,460.0,16.19110679626465,30.415611267089844,28.059476852416992,37.0780029296875,0.009300000000000001,-0.0023,-0.0007000000000000001,0.00018999999999999998,1141.1185970581055
2007-07-31,130.07073974609375,46.771663665771484,65.79000091552734,42.11277389526367,110.66486358642578,98.7367935180664,47.6363525390625,24.7027587890625,468.239990234375,16.00343132019043,30.250761032104492,27.87239646911621,36.919532775878906,-0.011899999999999999,0.0034999999999999996,-0.0013,0.00018999999999999998,1145.7623584869384
2007-08-01,129.9386444091797,46.41512680053711,65.93000030517578,42.44059371948242,111.20403289794922,98.77116394042969,47.03014373779297,24.42000961303711,462.0799865722656,15.895273208618164,29.98305320739746,27.486772537231445,37.12238311767578,0.0051,-0.0051,-0.0026,0.00018,1138.7145840667724
2007-08-02,130.2617950439453,46.188232421875,65.88999938964844,42.830440521240234,112.09256744384766,98.80738830566406,47.898292541503906,24.646207809448242,461.6000061035156,16.33424949645996,30.363481521606445,27.675765991210938,37.26184844970703,0.0055000000000000005,0.0015,-0.003,0.00018,1141.8542750396728
2007-08-03,131.0887908935547,45.539981842041016,66.69000244140625,42.01530456542969,109.20675659179688,98.83454132080078,46.75322341918945,24.533109664916992,451.5199890136719,16.226097106933594,28.96436882019043,26.784231185913086,36.75470733642578,-0.026600000000000002,-0.0063,-0.0075,0.00018,1124.8707042022706
2007-08-06,131.0602569580078,46.220638275146484,66.5199966430664,42.50261688232422,111.0369644165039,98.8254623413086,47.02265930175781,24.589658737182617,433.6000061035156,16.591909408569336,29.34199333190918,27.337862014770508,37.280860900878906,0.0207,-0.0116,-0.0039000000000000003,0.00018,1111.9360853149415
